GEOID10,mean_nitrate,canrate
55037190100,4.817017707426447,0.03
55037190200,3.4582373206262633,0.11
55019950300,5.131785929592781,0.09
55019950700,4.459252965012661,0.01
55019950600,4.0679792653632445,0.13
55019950800,5.23655862019317,0.28
55019950200,5.3095888863273375,0.14
55019950500,5.583144119556407,0.1
55019950400,5.801649433150306,0.15
55019950100,5.1136892892986445,0.05
55031021100,-1.211021555358183,0.01
55031990000,0.21026356258719725,0.07
55031020900,-0.8688518195970434,0.01
55031020600,-1.2056335767297928,0.01
55031020500,-1.2108756767571134,0.01
55031020400,-1.194030222453522,0.01
55049950600,6.804682252701766,0.15
55049950400,9.490891622682133,0.13
55049950300,4.822657739538982,0.52
55049950500,8.534746866145257,0.63
55049950200,7.878781508738813,0.61
55049950100,8.956418905154122,0.58
55031020300,-1.2158512764143388,0.01
55031020800,-0.6640883400369965,0.02
55031020700,-1.0299801290815547,0.04
55031030200,-0.4388803520934122,0.11
55031030300,0.838792582065015,0.54
55031030100,0.4614482312040926,0.16
55031021000,0.22403748528798687,0.01
55059002300,5.053713722889336,0.01
55059002200,4.840915993972377,0.01
55059002100,5.108661243664261,0.01
55059001800,5.054855938173844,0.01
55059001700,4.865173066515566,0.01
55059001300,5.729075759675144,0.01
55059001200,5.192611265229577,0.01
55059001100,5.101766193980382,0.01
55059000900,5.365650641910854,0.01
55059000800,5.490155569787222,0.01
55047100600,4.081884319770394,0.44
55047100500,5.154496093088277,0.28
55047100400,2.2753088624047364,0.28
55047100300,1.783643357464495,0.49
55015020800,0.17784974133878753,0.01
55015020700,1.146789641765817,0.01
55047100200,1.5778482403105136,0.01
55047100100,1.288244881767913,0.08
55015020308,0.7800200859830546,0.03
55015020303,-0.9720099383145283,0.01
55015020304,-0.25783544866820934,0.01
55015020306,1.0262968611011118,0.14
55061960500,3.3569363879696312,0.14
55051180300,-0.014239928174567085,0.11
55061960400,3.091455058765882,0.24
55051180100,-0.02708382899135614,0.01
55061960200,4.01733085002451,0.14
55051180200,-0.0940792638033809,0.12
55051990000,-0.7284495692656164,0.05
55057100300,4.403113227893613,0.09
55057100500,4.506726011821274,0.01
55057100600,3.8636513853357513,0.08
55055101702,3.2677656470099965,0.26
55055100300,2.742373289225333,0.05
55055100200,2.7627129563087864,0.01
55055100100,2.779002326698759,0.02
55055100400,4.22810691243608,0.39
55061960100,3.7418228281659442,0.01
55057100200,3.788332968645928,0.11
55057100400,4.206604834571241,0.04
55057100700,4.235979310723046,0.13
55057100100,2.981347151341186,0.38
55055101100,4.450886706834145,0.03
55055101202,4.863288820161653,0.07
55055101500,5.151680508480613,0.02
55055101400,5.074240215041323,0.01
55055101300,5.035711839343201,0.01
55055100900,4.755654483435891,0.47
55055101701,3.1979461547384034,0.18
55055100800,2.879242673278387,0.35
55055101600,6.428286441471184,0.33
