GEOID10,mean_nitrate,canrate
55037190100,4.630637976373658,0.03
55037190200,3.3580064181403806,0.11
55019950300,5.154750404588257,0.09
55019950700,4.460962677061819,0.01
55019950600,4.017457463952537,0.13
55019950800,5.213678210539668,0.28
55019950200,5.3144793212161,0.14
55019950500,5.615124689301944,0.1
55019950400,5.780030848009726,0.15
55019950100,5.127415238610374,0.05
55031021100,-1.2009499226348934,0.01
55031990000,0.14900666352252137,0.07
55031020900,-0.7197611850943103,0.01
55031020600,-1.182803766883376,0.01
55031020500,-1.204437907620872,0.01
55031020400,-1.1649681605431899,0.01
55049950600,6.8480133041344535,0.15
55049950400,9.258761137955716,0.13
55049950300,5.027463321279268,0.52
55049950500,8.525108262694562,0.63
55049950200,7.8234687533742475,0.61
55049950100,8.867574843400707,0.58
55031020300,-1.2145569938647267,0.01
55031020800,-0.6340466927610582,0.02
55031020700,-0.9577563100523564,0.04
55031030200,-0.4128782578057708,0.11
55031030300,0.8088994292065926,0.54
55031030100,0.4153443104631774,0.16
55031021000,0.17755257665942045,0.01
55059002300,5.079757524371222,0.01
55059002200,4.950577017158828,0.01
55059002100,5.1988369432382555,0.01
55059001800,,0.01
55059001700,4.987920808809205,0.01
55059001300,5.72961010989882,0.01
55059001200,5.281338560628888,0.01
55059001100,5.136852283986899,0.01
55059000900,5.3060167536428615,0.01
55059000800,5.447140310318364,0.01
55047100600,4.006552281531027,0.44
55047100500,5.234296365375776,0.28
55047100400,2.255995798797973,0.28
55047100300,1.7485039654224508,0.49
55015020800,0.18094788745410836,0.01
55015020700,0.9761875308181757,0.01
55047100200,1.386465058121827,0.01
55047100100,1.0917207261780844,0.08
55015020308,0.7211255492410875,0.03
55015020303,-0.8556821943503506,0.01
55015020304,-0.4687819291585691,0.01
55015020306,0.9997781961199034,0.14
55061960500,3.346800509040266,0.14
55051180300,-0.05065678640063813,0.11
55061960400,3.0278799929417093,0.24
55051180100,-0.013397062374955644,0.01
55061960200,4.029392252066651,0.14
55051180200,-0.06385039412272558,0.12
55051990000,-0.5831689490461431,0.05
55057100300,4.42424662408206,0.09
55057100500,4.443579108020948,0.01
55057100600,3.917212728552436,0.08
55055101702,3.1928967119385407,0.26
55055100300,2.7191570709597537,0.05
55055100200,2.7485273440132096,0.01
55055100100,2.7828664608087474,0.02
55055100400,4.053923254669528,0.39
55061960100,3.73862989696369,0.01
55057100200,3.8239183512704464,0.11
55057100400,4.173679432857364,0.04
55057100700,4.293245000520039,0.13
55057100100,2.9348112680373952,0.38
55055101100,4.578020966628335,0.03
55055101202,5.152853785362998,0.07
55055101500,5.113032292662896,0.02
55055101400,5.1289045650069065,0.01
55055101300,5.10396471579864,0.01
